archetype,build,slot,unit,x,y,stance
column,MilDeepRally,1,BannerGuard,24.20,22.00,Advance
column,MilDeepRally,2,BannerGuard,35.80,22.00,Advance
column,MilDeepRally,3,BannerGuard,24.20,19.00,Advance
column,MilDeepRally,4,BannerGuard,35.80,19.00,Advance
column,MilDeepRally,5,BannerGuard,24.20,16.00,Advance
column,MilDeepRally,6,SpearGuard,35.80,16.00,Advance
column,MilDeepRally,7,SpearGuard,24.20,13.00,Advance
column,MilDeepRally,8,SpearGuard,35.80,13.00,Advance
column,MilDeepRally,9,SpearGuard,24.90,10.00,Advance
column,MilDeepRally,10,Knights,36.15,10.00,Advance
column,MilDeepRally,11,Knights,30.00,7.00,Advance
screened,MilDeepRally,1,BannerGuard,6.40,22.00,Hold
screened,MilDeepRally,2,BannerGuard,18.20,22.00,Hold
screened,MilDeepRally,3,BannerGuard,30.00,22.00,Hold
screened,MilDeepRally,4,BannerGuard,41.80,22.00,Hold
screened,MilDeepRally,5,BannerGuard,53.60,22.00,Hold
screened,MilDeepRally,6,SpearGuard,6.75,17.00,Hold
screened,MilDeepRally,7,SpearGuard,18.90,17.00,Hold
screened,MilDeepRally,8,SpearGuard,31.05,17.00,Hold
screened,MilDeepRally,9,SpearGuard,43.20,17.00,Hold
screened,MilDeepRally,10,Knights,54.30,17.00,Advance
screened,MilDeepRally,11,Knights,30.00,12.00,Advance
forward,MilDeepRally,1,BannerGuard,23.20,22.50,Advance
forward,MilDeepRally,2,BannerGuard,36.80,22.50,Advance
forward,MilDeepRally,3,BannerGuard,23.20,19.00,Advance
forward,MilDeepRally,4,BannerGuard,36.80,19.00,Advance
forward,MilDeepRally,5,BannerGuard,23.20,15.50,Advance
forward,MilDeepRally,6,SpearGuard,36.80,15.50,Advance
forward,MilDeepRally,7,SpearGuard,23.20,12.00,Advance
forward,MilDeepRally,8,SpearGuard,36.80,12.00,Advance
forward,MilDeepRally,9,SpearGuard,23.90,8.50,Advance
forward,MilDeepRally,10,Knights,37.15,8.50,Advance
forward,MilDeepRally,11,Knights,30.00,5.00,Advance
line,MilDeepBodkin,1,Longbowmen,6.07,22.00,Hold
line,MilDeepBodkin,2,Longbowmen,16.53,22.00,Hold
line,MilDeepBodkin,3,SpearGuard,28.00,22.00,Hold
line,MilDeepBodkin,4,SpearGuard,40.47,22.00,Hold
line,MilDeepBodkin,5,SpearGuard,52.93,22.00,Hold
line,MilDeepBodkin,6,SpearGuard,7.43,17.00,Hold
line,MilDeepBodkin,7,SpearGuard,20.27,17.00,Hold
line,MilDeepBodkin,8,Knights,32.05,17.00,Advance
line,MilDeepBodkin,9,Knights,42.78,17.00,Advance
line,MilDeepBodkin,10,Longbowmen,53.57,17.00,Hold
line,MilDeepBodkin,11,Longbowmen,30.00,12.00,Hold
refused,MilDeepBodkin,1,SpearGuard,38.20,22.00,Advance
refused,MilDeepBodkin,2,SpearGuard,51.80,22.00,Advance
refused,MilDeepBodkin,3,SpearGuard,38.20,16.00,Advance
refused,MilDeepBodkin,4,SpearGuard,51.80,16.00,Advance
refused,MilDeepBodkin,5,SpearGuard,38.90,11.00,Advance
refused,MilDeepBodkin,6,Knights,52.15,11.00,Raid
refused,MilDeepBodkin,7,Knights,5.27,12.00,Hold
refused,MilDeepBodkin,8,Longbowmen,14.95,12.00,Hold
refused,MilDeepBodkin,9,Longbowmen,24.68,12.00,Hold
refused,MilDeepBodkin,10,Longbowmen,8.53,6.00,Hold
refused,MilDeepBodkin,11,Longbowmen,21.47,6.00,Hold
wings,MilDeepBodkin,1,SpearGuard,6.20,22.00,Advance
wings,MilDeepBodkin,2,SpearGuard,17.80,22.00,Advance
wings,MilDeepBodkin,3,SpearGuard,6.90,17.00,Advance
wings,MilDeepBodkin,4,Knights,18.15,17.00,Raid
wings,MilDeepBodkin,5,Longbowmen,6.53,12.00,Advance
wings,MilDeepBodkin,6,Longbowmen,17.47,12.00,Advance
wings,MilDeepBodkin,7,SpearGuard,42.20,22.00,Advance
wings,MilDeepBodkin,8,SpearGuard,53.80,22.00,Advance
wings,MilDeepBodkin,9,Knights,42.52,17.00,Advance
wings,MilDeepBodkin,10,Longbowmen,53.43,17.00,Advance
wings,MilDeepBodkin,11,Longbowmen,48.00,12.00,Advance
column,MilDeepBodkin,1,SpearGuard,24.20,22.00,Advance
column,MilDeepBodkin,2,SpearGuard,35.80,22.00,Advance
column,MilDeepBodkin,3,SpearGuard,24.20,19.00,Advance
column,MilDeepBodkin,4,SpearGuard,35.80,19.00,Advance
column,MilDeepBodkin,5,SpearGuard,24.90,16.00,Advance
column,MilDeepBodkin,6,Knights,36.15,16.00,Advance
column,MilDeepBodkin,7,Knights,24.52,13.00,Advance
column,MilDeepBodkin,8,Longbowmen,35.43,13.00,Advance
column,MilDeepBodkin,9,Longbowmen,24.53,10.00,Advance
column,MilDeepBodkin,10,Longbowmen,35.47,10.00,Advance
column,MilDeepBodkin,11,Longbowmen,30.00,7.00,Advance
screened,MilDeepBodkin,1,SpearGuard,6.40,22.00,Hold
screened,MilDeepBodkin,2,SpearGuard,18.20,22.00,Hold
screened,MilDeepBodkin,3,SpearGuard,30.00,22.00,Hold
screened,MilDeepBodkin,4,SpearGuard,41.80,22.00,Hold
screened,MilDeepBodkin,5,SpearGuard,53.60,22.00,Hold
screened,MilDeepBodkin,6,Knights,18.55,17.00,Advance
screened,MilDeepBodkin,7,Knights,41.45,17.00,Advance
screened,MilDeepBodkin,8,Longbowmen,15.36,6.00,Hold
screened,MilDeepBodkin,9,Longbowmen,25.12,6.00,Hold
screened,MilDeepBodkin,10,Longbowmen,34.88,6.00,Hold
screened,MilDeepBodkin,11,Longbowmen,44.64,6.00,Hold
forward,MilDeepBodkin,1,SpearGuard,23.20,22.50,Advance
forward,MilDeepBodkin,2,SpearGuard,36.80,22.50,Advance
forward,MilDeepBodkin,3,SpearGuard,23.20,19.00,Advance
forward,MilDeepBodkin,4,SpearGuard,36.80,19.00,Advance
forward,MilDeepBodkin,5,SpearGuard,23.90,15.50,Advance
forward,MilDeepBodkin,6,Knights,37.15,15.50,Advance
forward,MilDeepBodkin,7,Knights,20.27,12.00,Advance
forward,MilDeepBodkin,8,Longbowmen,29.95,12.00,Advance
forward,MilDeepBodkin,9,Longbowmen,39.68,12.00,Advance
forward,MilDeepBodkin,10,Longbowmen,23.53,8.50,Advance
forward,MilDeepBodkin,11,Longbowmen,36.47,8.50,Advance
line,MagDeepChain,1,EmberMage,3.45,22.00,Hold
line,MagDeepChain,2,EmberMage,9.30,22.00,Hold
line,MagDeepChain,3,Lifewarden,18.15,22.00,Hold
line,MagDeepChain,4,Lifewarden,30.00,22.00,Hold
line,MagDeepChain,5,Lifewarden,41.85,22.00,Hold
line,MagDeepChain,6,Stormcaller,50.70,22.00,Advance
line,MagDeepChain,7,Stormcaller,56.55,22.00,Advance
line,MagDeepChain,8,Stormcaller,10.56,17.00,Advance
line,MagDeepChain,9,Stormcaller,23.52,17.00,Advance
line,MagDeepChain,10,EmberMage,36.48,17.00,Hold
line,MagDeepChain,11,EmberMage,49.44,17.00,Hold
refused,MagDeepChain,1,Lifewarden,38.20,22.00,Advance
refused,MagDeepChain,2,Lifewarden,51.80,22.00,Advance
refused,MagDeepChain,3,Lifewarden,36.36,16.00,Advance
refused,MagDeepChain,4,Stormcaller,45.12,16.00,Advance
refused,MagDeepChain,5,Stormcaller,50.88,16.00,Advance
refused,MagDeepChain,6,Stormcaller,56.64,16.00,Advance
refused,MagDeepChain,7,Stormcaller,3.40,12.00,Raid
refused,MagDeepChain,8,EmberMage,9.20,12.00,Hold
refused,MagDeepChain,9,EmberMage,15.00,12.00,Hold
refused,MagDeepChain,10,EmberMage,20.80,12.00,Hold
refused,MagDeepChain,11,EmberMage,26.60,12.00,Hold
wings,MagDeepChain,1,Lifewarden,6.20,22.00,Advance
wings,MagDeepChain,2,Lifewarden,17.80,22.00,Advance
wings,MagDeepChain,3,Stormcaller,3.36,17.00,Raid
wings,MagDeepChain,4,Stormcaller,9.12,17.00,Advance
wings,MagDeepChain,5,EmberMage,14.88,17.00,Advance
wings,MagDeepChain,6,EmberMage,20.64,17.00,Advance
wings,MagDeepChain,7,Lifewarden,42.30,22.00,Advance
wings,MagDeepChain,8,Stormcaller,51.00,22.00,Advance
wings,MagDeepChain,9,Stormcaller,56.70,22.00,Advance
wings,MagDeepChain,10,EmberMage,43.20,17.00,Advance
wings,MagDeepChain,11,EmberMage,52.80,17.00,Advance
column,MagDeepChain,1,Lifewarden,24.20,22.00,Advance
column,MagDeepChain,2,Lifewarden,35.80,22.00,Advance
column,MagDeepChain,3,Lifewarden,24.30,19.00,Advance
column,MagDeepChain,4,Stormcaller,33.00,19.00,Advance
column,MagDeepChain,5,Stormcaller,38.70,19.00,Advance
column,MagDeepChain,6,Stormcaller,21.36,16.00,Advance
column,MagDeepChain,7,Stormcaller,27.12,16.00,Advance
column,MagDeepChain,8,EmberMage,32.88,16.00,Advance
column,MagDeepChain,9,EmberMage,38.64,16.00,Advance
column,MagDeepChain,10,EmberMage,25.20,13.00,Advance
column,MagDeepChain,11,EmberMage,34.80,13.00,Advance
screened,MagDeepChain,1,Lifewarden,6.45,22.00,Hold
screened,MagDeepChain,2,Lifewarden,18.30,22.00,Hold
screened,MagDeepChain,3,Lifewarden,30.15,22.00,Hold
screened,MagDeepChain,4,Stormcaller,39.00,22.00,Advance
screened,MagDeepChain,5,Stormcaller,44.85,22.00,Advance
screened,MagDeepChain,6,Stormcaller,50.70,22.00,Advance
screened,MagDeepChain,7,Stormcaller,56.55,22.00,Advance
screened,MagDeepChain,8,EmberMage,16.56,6.00,Hold
screened,MagDeepChain,9,EmberMage,25.52,6.00,Hold
screened,MagDeepChain,10,EmberMage,34.48,6.00,Hold
screened,MagDeepChain,11,EmberMage,43.44,6.00,Hold
forward,MagDeepChain,1,Lifewarden,23.20,22.50,Advance
forward,MagDeepChain,2,Lifewarden,36.80,22.50,Advance
forward,MagDeepChain,3,Lifewarden,21.36,19.00,Advance
forward,MagDeepChain,4,Stormcaller,30.12,19.00,Advance
forward,MagDeepChain,5,Stormcaller,35.88,19.00,Advance
forward,MagDeepChain,6,Stormcaller,41.64,19.00,Advance
forward,MagDeepChain,7,Stormcaller,18.40,15.50,Advance
forward,MagDeepChain,8,EmberMage,24.20,15.50,Advance
forward,MagDeepChain,9,EmberMage,30.00,15.50,Advance
forward,MagDeepChain,10,EmberMage,35.80,15.50,Advance
forward,MagDeepChain,11,EmberMage,41.60,15.50,Advance
line,MagDeepFrost,1,EmberMage,4.29,22.00,Hold
line,MagDeepFrost,2,EmberMage,10.97,22.00,Hold
line,MagDeepFrost,3,EmberMage,17.66,22.00,Hold
line,MagDeepFrost,4,Lifewarden,27.34,22.00,Hold
line,MagDeepFrost,5,Lifewarden,40.03,22.00,Hold
line,MagDeepFrost,6,Lifewarden,52.71,22.00,Hold
line,MagDeepFrost,7,Lifewarden,10.40,17.00,Hold
line,MagDeepFrost,8,Frostcaller,23.20,17.00,Hold
line,MagDeepFrost,9,Frostcaller,33.00,17.00,Hold
line,MagDeepFrost,10,Frostcaller,42.80,17.00,Hold
line,MagDeepFrost,11,Frostcaller,52.60,17.00,Hold
refused,MagDeepFrost,1,Lifewarden,38.20,22.00,Advance
refused,MagDeepFrost,2,Lifewarden,51.80,22.00,Advance
refused,MagDeepFrost,3,Lifewarden,36.30,16.00,Raid
refused,MagDeepFrost,4,Lifewarden,48.00,16.00,Advance
refused,MagDeepFrost,5,EmberMage,56.70,16.00,Advance
refused,MagDeepFrost,6,EmberMage,45.00,11.00,Advance
refused,MagDeepFrost,7,EmberMage,3.40,12.00,Hold
refused,MagDeepFrost,8,Frostcaller,9.20,12.00,Hold
refused,MagDeepFrost,9,Frostcaller,15.00,12.00,Hold
refused,MagDeepFrost,10,Frostcaller,20.80,12.00,Hold
refused,MagDeepFrost,11,Frostcaller,26.60,12.00,Hold
wings,MagDeepFrost,1,Lifewarden,6.20,22.00,Raid
wings,MagDeepFrost,2,Lifewarden,17.80,22.00,Advance
wings,MagDeepFrost,3,EmberMage,3.36,17.00,Advance
wings,MagDeepFrost,4,EmberMage,9.12,17.00,Advance
wings,MagDeepFrost,5,Frostcaller,14.88,17.00,Advance
wings,MagDeepFrost,6,Frostcaller,20.64,17.00,Advance
wings,MagDeepFrost,7,Lifewarden,42.20,22.00,Advance
wings,MagDeepFrost,8,Lifewarden,53.80,22.00,Advance
wings,MagDeepFrost,9,EmberMage,40.80,17.00,Advance
wings,MagDeepFrost,10,Frostcaller,48.00,17.00,Advance
wings,MagDeepFrost,11,Frostcaller,55.20,17.00,Advance
column,MagDeepFrost,1,Lifewarden,24.20,22.00,Advance
column,MagDeepFrost,2,Lifewarden,35.80,22.00,Advance
column,MagDeepFrost,3,Lifewarden,24.20,19.00,Advance
column,MagDeepFrost,4,Lifewarden,35.80,19.00,Advance
column,MagDeepFrost,5,EmberMage,21.36,16.00,Advance
column,MagDeepFrost,6,EmberMage,27.12,16.00,Advance
column,MagDeepFrost,7,EmberMage,32.88,16.00,Advance
column,MagDeepFrost,8,Frostcaller,38.64,16.00,Advance
column,MagDeepFrost,9,Frostcaller,22.80,13.00,Advance
column,MagDeepFrost,10,Frostcaller,30.00,13.00,Advance
column,MagDeepFrost,11,Frostcaller,37.20,13.00,Advance
screened,MagDeepFrost,1,Lifewarden,8.76,22.00,Hold
screened,MagDeepFrost,2,Lifewarden,22.92,22.00,Hold
screened,MagDeepFrost,3,Lifewarden,37.08,22.00,Hold
screened,MagDeepFrost,4,Lifewarden,51.24,22.00,Hold
screened,MagDeepFrost,5,EmberMage,13.20,6.00,Hold
screened,MagDeepFrost,6,EmberMage,18.80,6.00,Hold
screened,MagDeepFrost,7,EmberMage,24.40,6.00,Hold
screened,MagDeepFrost,8,Frostcaller,30.00,6.00,Hold
screened,MagDeepFrost,9,Frostcaller,35.60,6.00,Hold
screened,MagDeepFrost,10,Frostcaller,41.20,6.00,Hold
screened,MagDeepFrost,11,Frostcaller,46.80,6.00,Hold
forward,MagDeepFrost,1,Lifewarden,23.20,22.50,Advance
forward,MagDeepFrost,2,Lifewarden,36.80,22.50,Advance
forward,MagDeepFrost,3,Lifewarden,21.30,19.00,Advance
forward,MagDeepFrost,4,Lifewarden,33.00,19.00,Advance
forward,MagDeepFrost,5,EmberMage,41.70,19.00,Advance
forward,MagDeepFrost,6,EmberMage,18.40,15.50,Advance
forward,MagDeepFrost,7,EmberMage,24.20,15.50,Advance
forward,MagDeepFrost,8,Frostcaller,30.00,15.50,Advance
forward,MagDeepFrost,9,Frostcaller,35.80,15.50,Advance
forward,MagDeepFrost,10,Frostcaller,41.60,15.50,Advance
forward,MagDeepFrost,11,Frostcaller,30.00,12.00,Advance
line,BeastDeepSing,1,Troll,3.59,22.00,Hold
line,BeastDeepSing,2,Direwolves,10.68,22.00,Advance
line,BeastDeepSing,3,Direwolves,18.57,22.00,Advance
line,BeastDeepSing,4,Direwolves,26.46,22.00,Advance
line,BeastDeepSing,5,Direwolves,34.34,22.00,Advance
line,BeastDeepSing,6,Griffin,41.83,22.00,Advance
line,BeastDeepSing,7,Griffin,48.92,22.00,Advance
line,BeastDeepSing,8,Griffin,56.01,22.00,Advance
line,BeastDeepSing,9,Griffin,10.46,17.00,Advance
line,BeastDeepSing,10,Griffin,24.02,17.00,Advance
line,BeastDeepSing,11,Troll,37.18,17.00,Hold
line,BeastDeepSing,12,Troll,49.94,17.00,Hold
refused,BeastDeepSing,1,Direwolves,35.75,22.00,Advance
refused,BeastDeepSing,2,Direwolves,45.00,22.00,Advance
refused,BeastDeepSing,3,Direwolves,54.25,22.00,Advance
refused,BeastDeepSing,4,Direwolves,36.15,16.00,Advance
refused,BeastDeepSing,5,Griffin,45.40,16.00,Advance
refused,BeastDeepSing,6,Griffin,54.25,16.00,Advance
refused,BeastDeepSing,7,Griffin,4.30,12.00,Raid
refused,BeastDeepSing,8,Griffin,11.70,12.00,Hold
refused,BeastDeepSing,9,Griffin,19.10,12.00,Hold
refused,BeastDeepSing,10,Troll,26.10,12.00,Hold
refused,BeastDeepSing,11,Troll,9.10,6.00,Hold
refused,BeastDeepSing,12,Troll,20.90,6.00,Hold
wings,BeastDeepSing,1,Direwolves,4.45,22.00,Advance
wings,BeastDeepSing,2,Direwolves,12.40,22.00,Advance
wings,BeastDeepSing,3,Griffin,19.95,22.00,Advance
wings,BeastDeepSing,4,Griffin,4.65,17.00,Raid
wings,BeastDeepSing,5,Griffin,12.40,17.00,Advance
wings,BeastDeepSing,6,Troll,19.75,17.00,Advance
wings,BeastDeepSing,7,Direwolves,40.45,22.00,Advance
wings,BeastDeepSing,8,Direwolves,48.40,22.00,Advance
wings,BeastDeepSing,9,Griffin,55.95,22.00,Advance
wings,BeastDeepSing,10,Griffin,40.85,17.00,Advance
wings,BeastDeepSing,11,Troll,48.40,17.00,Advance
wings,BeastDeepSing,12,Troll,55.55,17.00,Advance
column,BeastDeepSing,1,Direwolves,22.25,22.00,Advance
column,BeastDeepSing,2,Direwolves,30.00,22.00,Advance
column,BeastDeepSing,3,Direwolves,37.75,22.00,Advance
column,BeastDeepSing,4,Direwolves,22.65,19.00,Advance
column,BeastDeepSing,5,Griffin,30.40,19.00,Advance
column,BeastDeepSing,6,Griffin,37.75,19.00,Advance
column,BeastDeepSing,7,Griffin,22.45,16.00,Advance
column,BeastDeepSing,8,Griffin,30.00,16.00,Advance
column,BeastDeepSing,9,Griffin,37.55,16.00,Advance
column,BeastDeepSing,10,Troll,22.65,13.00,Advance
column,BeastDeepSing,11,Troll,30.00,13.00,Advance
column,BeastDeepSing,12,Troll,37.35,13.00,Advance
screened,BeastDeepSing,1,Direwolves,4.30,22.00,Advance
screened,BeastDeepSing,2,Direwolves,12.10,22.00,Advance
screened,BeastDeepSing,3,Direwolves,19.90,22.00,Advance
screened,BeastDeepSing,4,Direwolves,27.70,22.00,Advance
screened,BeastDeepSing,5,Griffin,35.10,22.00,Advance
screened,BeastDeepSing,6,Griffin,42.10,22.00,Advance
screened,BeastDeepSing,7,Griffin,49.10,22.00,Advance
screened,BeastDeepSing,8,Griffin,56.10,22.00,Advance
screened,BeastDeepSing,9,Griffin,30.00,17.00,Advance
screened,BeastDeepSing,10,Troll,18.65,6.00,Hold
screened,BeastDeepSing,11,Troll,30.00,6.00,Hold
screened,BeastDeepSing,12,Troll,41.35,6.00,Hold
forward,BeastDeepSing,1,Direwolves,20.75,22.50,Advance
forward,BeastDeepSing,2,Direwolves,30.00,22.50,Advance
forward,BeastDeepSing,3,Direwolves,39.25,22.50,Advance
forward,BeastDeepSing,4,Direwolves,19.38,19.00,Advance
forward,BeastDeepSing,5,Griffin,26.86,19.00,Advance
forward,BeastDeepSing,6,Griffin,33.94,19.00,Advance
forward,BeastDeepSing,7,Griffin,41.02,19.00,Advance
forward,BeastDeepSing,8,Griffin,19.46,15.50,Advance
forward,BeastDeepSing,9,Griffin,27.02,15.50,Advance
forward,BeastDeepSing,10,Troll,34.18,15.50,Advance
forward,BeastDeepSing,11,Troll,40.94,15.50,Advance
forward,BeastDeepSing,12,Troll,30.00,12.00,Advance
line,BeastDeepStone,1,Troll,4.53,22.00,Hold
line,BeastDeepStone,2,Stonebacks,13.41,22.00,Hold
line,BeastDeepStone,3,Stonebacks,23.94,22.00,Hold
line,BeastDeepStone,4,Stonebacks,34.46,22.00,Hold
line,BeastDeepStone,5,Stonebacks,44.99,22.00,Hold
line,BeastDeepStone,6,Direwolves,54.67,22.00,Advance
line,BeastDeepStone,7,Direwolves,6.53,17.00,Advance
line,BeastDeepStone,8,Direwolves,16.56,17.00,Advance
line,BeastDeepStone,9,Direwolves,26.59,17.00,Advance
line,BeastDeepStone,10,Direwolves,36.61,17.00,Advance
line,BeastDeepStone,11,Troll,45.84,17.00,Hold
line,BeastDeepStone,12,Troll,54.27,17.00,Hold
refused,BeastDeepStone,1,Stonebacks,35.33,22.00,Advance
refused,BeastDeepStone,2,Stonebacks,45.00,22.00,Advance
refused,BeastDeepStone,3,Stonebacks,54.68,22.00,Advance
refused,BeastDeepStone,4,Stonebacks,36.17,16.00,Advance
refused,BeastDeepStone,5,Direwolves,45.85,16.00,Advance
refused,BeastDeepStone,6,Direwolves,54.67,16.00,Advance
refused,BeastDeepStone,7,Direwolves,4.22,12.00,Raid
refused,BeastDeepStone,8,Direwolves,11.94,12.00,Hold
refused,BeastDeepStone,9,Direwolves,19.66,12.00,Hold
refused,BeastDeepStone,10,Troll,26.58,12.00,Hold
refused,BeastDeepStone,11,Troll,9.10,6.00,Hold
refused,BeastDeepStone,12,Troll,20.90,6.00,Hold
wings,BeastDeepStone,1,Stonebacks,6.55,22.00,Advance
wings,BeastDeepStone,2,Stonebacks,17.45,22.00,Advance
wings,BeastDeepStone,3,Direwolves,4.25,17.00,Raid
wings,BeastDeepStone,4,Direwolves,12.00,17.00,Advance
wings,BeastDeepStone,5,Direwolves,19.75,17.00,Advance
wings,BeastDeepStone,6,Troll,12.00,12.00,Advance
wings,BeastDeepStone,7,Stonebacks,42.55,22.00,Advance
wings,BeastDeepStone,8,Stonebacks,53.45,22.00,Advance
wings,BeastDeepStone,9,Direwolves,40.65,17.00,Advance
wings,BeastDeepStone,10,Direwolves,48.80,17.00,Advance
wings,BeastDeepStone,11,Troll,56.15,17.00,Advance
wings,BeastDeepStone,12,Troll,48.00,12.00,Advance
column,BeastDeepStone,1,Stonebacks,24.55,22.00,Advance
column,BeastDeepStone,2,Stonebacks,35.45,22.00,Advance
column,BeastDeepStone,3,Stonebacks,24.55,19.00,Advance
column,BeastDeepStone,4,Stonebacks,35.45,19.00,Advance
column,BeastDeepStone,5,Direwolves,22.25,16.00,Advance
column,BeastDeepStone,6,Direwolves,30.00,16.00,Advance
column,BeastDeepStone,7,Direwolves,37.75,16.00,Advance
column,BeastDeepStone,8,Direwolves,22.65,13.00,Advance
column,BeastDeepStone,9,Direwolves,30.80,13.00,Advance
column,BeastDeepStone,10,Troll,38.15,13.00,Advance
column,BeastDeepStone,11,Troll,25.10,10.00,Advance
column,BeastDeepStone,12,Troll,34.90,10.00,Advance
screened,BeastDeepStone,1,Stonebacks,5.95,22.00,Hold
screened,BeastDeepStone,2,Stonebacks,16.25,22.00,Hold
screened,BeastDeepStone,3,Stonebacks,26.55,22.00,Hold
screened,BeastDeepStone,4,Stonebacks,36.85,22.00,Hold
screened,BeastDeepStone,5,Direwolves,46.30,22.00,Advance
screened,BeastDeepStone,6,Direwolves,54.90,22.00,Advance
screened,BeastDeepStone,7,Direwolves,13.25,17.00,Advance
screened,BeastDeepStone,8,Direwolves,30.00,17.00,Advance
screened,BeastDeepStone,9,Direwolves,46.75,17.00,Advance
screened,BeastDeepStone,10,Troll,18.65,6.00,Hold
screened,BeastDeepStone,11,Troll,30.00,6.00,Hold
screened,BeastDeepStone,12,Troll,41.35,6.00,Hold
forward,BeastDeepStone,1,Stonebacks,20.33,22.50,Advance
forward,BeastDeepStone,2,Stonebacks,30.00,22.50,Advance
forward,BeastDeepStone,3,Stonebacks,39.68,22.50,Advance
forward,BeastDeepStone,4,Stonebacks,21.17,19.00,Advance
forward,BeastDeepStone,5,Direwolves,30.85,19.00,Advance
forward,BeastDeepStone,6,Direwolves,39.67,19.00,Advance
forward,BeastDeepStone,7,Direwolves,19.22,15.50,Advance
forward,BeastDeepStone,8,Direwolves,26.94,15.50,Advance
forward,BeastDeepStone,9,Direwolves,34.66,15.50,Advance
forward,BeastDeepStone,10,Troll,41.58,15.50,Advance
forward,BeastDeepStone,11,Troll,24.10,12.00,Advance
forward,BeastDeepStone,12,Troll,35.90,12.00,Advance
line,MilMagic,1,EmberMage,4.40,22.00,Hold
line,MilMagic,2,Lifewarden,14.20,22.00,Hold
line,MilMagic,3,Lifewarden,27.00,22.00,Hold
line,MilMagic,4,SpearGuard,39.80,22.00,Hold
line,MilMagic,5,SpearGuard,52.60,22.00,Hold
line,MilMagic,6,SpearGuard,6.17,17.00,Hold
line,MilMagic,7,SpearGuard,17.74,17.00,Hold
line,MilMagic,8,SpearGuard,29.31,17.00,Hold
line,MilMagic,9,Knights,39.84,17.00,Advance
line,MilMagic,10,Knights,49.31,17.00,Advance
line,MilMagic,11,EmberMage,56.83,17.00,Hold
line,MilMagic,12,EmberMage,30.00,12.00,Hold
refused,MilMagic,1,Lifewarden,38.20,22.00,Advance
refused,MilMagic,2,Lifewarden,51.80,22.00,Advance
refused,MilMagic,3,SpearGuard,38.20,16.00,Advance
refused,MilMagic,4,SpearGuard,51.80,16.00,Advance
refused,MilMagic,5,SpearGuard,38.20,11.00,Advance
refused,MilMagic,6,SpearGuard,51.80,11.00,Advance
refused,MilMagic,7,SpearGuard,8.90,12.00,Hold
refused,MilMagic,8,Knights,22.15,12.00,Hold
refused,MilMagic,9,Knights,5.73,6.00,Raid
refused,MilMagic,10,EmberMage,13.86,6.00,Hold
refused,MilMagic,11,EmberMage,20.04,6.00,Hold
refused,MilMagic,12,EmberMage,26.22,6.00,Hold
wings,MilMagic,1,Lifewarden,6.20,22.00,Advance
wings,MilMagic,2,SpearGuard,17.80,22.00,Advance
wings,MilMagic,3,SpearGuard,6.20,17.00,Advance
wings,MilMagic,4,SpearGuard,17.80,17.00,Advance
wings,MilMagic,5,Knights,7.85,12.00,Raid
wings,MilMagic,6,EmberMage,18.10,12.00,Advance
wings,MilMagic,7,Lifewarden,42.20,22.00,Advance
wings,MilMagic,8,SpearGuard,53.80,22.00,Advance
wings,MilMagic,9,SpearGuard,42.90,17.00,Advance
wings,MilMagic,10,Knights,54.15,17.00,Advance
wings,MilMagic,11,EmberMage,43.20,12.00,Advance
